the	ð ə
dry	d ɹ aɪ
explore	ɛ k s p l ɔːɹ
maryland	m ɛ ɹ ɪ l æ n d
spa	s p ɑː
concept	k ɑː n s ɛ p t
nearly	n ɪɹ l i
eligible	ɛ l ɪ dʒ ə b əl
checkout	tʃ ɛ k aʊ t
reality	ɹ ɪ æ l ᵻ ɾ i
forgot	f ɚ ɡ ɑː t
handling	h æ n d l ɪ ŋ
origin	ɔː ɹ ɪ dʒ ɪ n
knew	n uː
gaming	ɡ eɪ m ɪ ŋ
feeds	f iː d z
billion	b ɪ l iə n
destination	d ɛ s t ɪ n eɪ ʃ ə n
scotland	s k ɑː t l ə n d
faster	f æ s t ɚ
intelligence	ɪ n t ɛ l ɪ dʒ ə n s
dallas	d æ l ə s
bought	b ɔː t
con	k ɑː n
ups	ʌ p s
nations	n eɪ ʃ ə n z
route	ɹ aʊ t
followed	f ɑː l oʊ d
specifications	s p ɛ s ɪ f ɪ k eɪ ʃ ə n z
broken	b ɹ oʊ k ə n
tripadvisor	t ɹ aɪ p ɐ d v aɪ z ɚ
frank	f ɹ æ ŋ k
alaska	ɐ l æ s k ə
zoom	z uː m
blow	b l oʊ
battle	b æ ɾ əl
residential	ɹ ɛ z ᵻ d ɛ n ʃ əl
anime	æ n ɪ m eɪ
speak	s p iː k
decisions	d ᵻ s ɪ ʒ ə n z
industries	ɪ n d ʌ s t ɹ i z
protocol	p ɹ oʊ ɾ ə k ɑː l
query	k w iə ɹ i
clip	k l ɪ p
partnership	p ɑːɹ t n ɚ ʃ ɪ p
editorial	ɛ d ɪ t ɔː ɹ ɪ ə l
nt	ɛ n t iː
expression	ɛ k s p ɹ ɛ ʃ ə n
es	iː z
equity	ɛ k w ᵻ ɾ i
provisions	p ɹ ə v ɪ ʒ ə n z
speech	s p iː tʃ
wire	w aɪɚ
principles	p ɹ ɪ n s ɪ p əl z
suggestions	s ə dʒ ɛ s tʃ ə n z
rural	ɹ ʊɹ ɹ əl
shared	ʃ ɛɹ d
sounds	s aʊ n d z
replacement	ɹ ᵻ p l eɪ s m ə n t
tape	t eɪ p
strategic	s t ɹ ə t iː dʒ ɪ k
judge	dʒ ʌ dʒ
spam	s p æ m
economics	iː k ə n ɑː m ɪ k s
acid	æ s ɪ d
bytes	b aɪ t s
cent	s ɛ n t
forced	f ɔːɹ s t
compatible	k ə m p æ ɾ ᵻ b əl
fight	f aɪ t
apartment	ɐ p ɑːɹ t m ə n t
height	h aɪ t
null	n ʌ l
zero	z iə ɹ oʊ
speaker	s p iː k ɚ
filed	f aɪ l d
gb	dʒ iː b iː
netherlands	n ɛ ð ɜː l ə n d z
obtain	ə b t eɪ n
bc	b iː s iː
consulting	k ə n s ʌ l t ɪ ŋ
recreation	ɹ ɛ k ɹ iː eɪ ʃ ə n
offices	ɑː f ɪ s ᵻ z
designer	d ɪ z aɪ n ɚ
remain	ɹ ᵻ m eɪ n
managed	m æ n ɪ dʒ d
pr	p iː ɑːɹ
failed	f eɪ l d
marriage	m æ ɹ ɪ dʒ
roll	ɹ oʊ l
korea	k ɚ ɹ iː ə
banks	b æ ŋ k s
fr	ɛ f ɑːɹ
participants	p ɑːɹ t ɪ s ɪ p ə n t s
secret	s iː k ɹ ᵻ t
bath	b æ θ
aa	ɑː
kelly	k ɛ l i
leads	l iː d z
negative	n ɛ ɡ ə t ɪ v
austin	ɔː s t ɪ n
favorites	f eɪ v ɚ ɹ ᵻ t s
toronto	t ɚ ɹ ɑː n t oʊ
theater	θ iə ɾ ɚ
springs	s p ɹ ɪ ŋ z
missouri	m ɪ z ʊɹ ɹ i
andrew	æ n d ɹ uː
var	v ɑːɹ
perform	p ɚ f ɔːɹ m
healthy	h ɛ l θ i
translation	t ɹ æ n s l eɪ ʃ ə n
estimates	ɛ s t ᵻ m ə t s
font	f ɔ n t
assets	æ s ɛ t s
injury	ɪ n dʒ ɚ ɹ i
mt	ɛ m t iː
joseph	dʒ oʊ s ə f
ministry	m ɪ n ɪ s t ɹ i
drivers	d ɹ aɪ v ɚ z
lawyer	l ɔɪ ɚ
figures	f ɪ ɡ j ɚ z
married	m æ ɹ i d
protected	p ɹ ə t ɛ k t ᵻ d
proposal	p ɹ ə p oʊ z əl
sharing	ʃ ɛ ɹ ɪ ŋ
philadelphia	f ɪ l ɐ d ɛ l f iə
portal	p ɔːɹ ɾ əl
waiting	w eɪ ɾ ɪ ŋ
birthday	b ɜː θ d eɪ
beta	b eɪ ɾ ə
fail	f eɪ l
gratis	ɡ ɹ æ ɾ ɪ s
banking	b æ ŋ k ɪ ŋ
officials	ə f ɪ ʃ əl z
brian	b ɹ aɪ ə n
toward	t ə w ɔːɹ d
won	w ʌ n
slightly	s l aɪ t l i
assist	ɐ s ɪ s t
conduct	k ɑː n d ʌ k t
contained	k ə n t eɪ n d
lingerie	l ɑː n ʒ ɚ ɹ eɪ
legislation	l ɛ dʒ ɪ s l eɪ ʃ ə n
calling	k ɔː l ɪ ŋ
parameters	p ɚ ɹ æ m ɪ ɾ ɚ z
jazz	dʒ æ z
serving	s ɜː v ɪ ŋ
bags	b æ ɡ z
profiles	p ɹ oʊ f aɪ l z
miami	m aɪ æ m i
comics	k ɑː m ɪ k s
matters	m æ ɾ ɚ z
houses	h aʊ z ᵻ z
doc	d ɑː k
postal	p oʊ s t əl
relationships	ɹ ᵻ l eɪ ʃ ə n ʃ ɪ p s
tennessee	t ɛ n ə s iː
wear	w ɛɹ
controls	k ə n t ɹ oʊ l z
breaking	b ɹ eɪ k ɪ ŋ
combined	k ə m b aɪ n d
ultimate	ʌ l t ᵻ m ə t
wales	w eɪ l z
representative	ɹ ɛ p ɹ ᵻ z ɛ n t ə t ɪ v
frequency	f ɹ iː k w ə n s i
introduced	ɪ n t ɹ ə d uː s t
minor	m aɪ n ɚ
finish	f ɪ n ɪ ʃ
departments	d ᵻ p ɑːɹ t m ə n t s
residents	ɹ ɛ z ᵻ d ə n t s
noted	n oʊ ɾ ᵻ d
displayed	d ɪ s p l eɪ d
mom	m ɑː m
reduced	ɹ ᵻ d uː s t
physics	f ɪ z ɪ k s
rare	ɹ ɛɹ
spent	s p ɛ n t
performed	p ɚ f ɔːɹ m d
extreme	ɛ k s t ɹ iː m
samples	s æ m p əl z
davis	d eɪ v ɪ s
daniel	d æ n j əl
bars	b ɑːɹ z
reviewed	ɹ ᵻ v j uː d
row	ɹ oʊ
oz	ɑː z
forecast	f ɔːɹ k æ s t
removed	ɹ ᵻ m uː v d
helps	h ɛ l p s
singles	s ɪ ŋ ɡ əl z
administrator	ɐ d m ɪ n ɪ s t ɹ eɪ ɾ ɚ
cycle	s aɪ k əl
amounts	ɐ m aʊ n t s
contain	k ə n t eɪ n
accuracy	æ k j ʊ ɹ ə s i
dual	d uː əl
rise	ɹ aɪ z
usd	ʌ s d
sleep	s l iː p
mg	ɛ m dʒ iː
bird	b ɜː d
pharmacy	f ɑːɹ m ə s i
brazil	b ɹ ɐ z ɪ l
creation	k ɹ iː eɪ ʃ ə n
static	s t æ ɾ ɪ k
scene	s iː n
hunter	h ʌ n t ɚ
addresses	ɐ d ɹ ɛ s ᵻ z
lady	l eɪ d i
crystal	k ɹ ɪ s t əl
famous	f eɪ m ə s
writer	ɹ aɪ ɾ ɚ
chairman	tʃ ɛɹ m ə n
violence	v aɪə l ə n s
fans	f æ n z
oklahoma	oʊ k l ɐ h oʊ m ə
speakers	s p iː k ɚ z
drink	d ɹ ɪ ŋ k
academy	ɐ k æ d ə m i
dynamic	d aɪ n æ m ɪ k
gender	dʒ ɛ n d ɚ
eat	iː t
permanent	p ɜː m ə n ə n t
agriculture	æ ɡ ɹ ɪ k ʌ l tʃ ɚ
dell	d ɛ l
cleaning	k l iː n ɪ ŋ
constitutes	k ɑː n s t ɪ t uː t s
portfolio	p ɔːɹ t f oʊ l ɪ oʊ
practical	p ɹ æ k t ɪ k əl
delivered	d ᵻ l ɪ v ɚ d
collectibles	k ə l ɛ k t ᵻ b əl z
infrastructure	ɪ n f ɹ ə s t ɹ ʌ k tʃ ɚ
exclusive	ɛ k s k l uː s ɪ v
seat	s iː t
concerns	k ə n s ɜː n z
colour	k ʌ l ɚ
vendor	v ɛ n d ɚ
originally	ɚ ɹ ɪ dʒ ɪ n əl i
intel	ɪ n t ɛ l
utilities	j uː t ɪ l ᵻ ɾ i z
philosophy	f ɪ l ɑː s ə f i
regulation	ɹ ɛ ɡ j ʊ l eɪ ʃ ə n
officers	ɑː f ɪ s ɚ z
reduction	ɹ ᵻ d ʌ k ʃ ə n
aim	eɪ m
bids	b ɪ d z
referred	ɹ ᵻ f ɜː d
supports	s ə p ɔːɹ t s
nutrition	n j uː t ɹ ɪ ʃ ə n
recording	ɹ ᵻ k ɔːɹ d ɪ ŋ
regions	ɹ iː dʒ ə n z
junior	dʒ uː n j ɚ
toll	t oʊ l
les	l ɛ s
cape	k eɪ p
ann	æ n
rings	ɹ ɪ ŋ z
meaning	m iː n ɪ ŋ
tip	t ɪ p
secondary	s ɛ k ə n d ɚ ɹ i
wonderful	w ʌ n d ɚ f əl
mine	m aɪ n
ladies	l eɪ d i z
henry	h ɛ n ɹ i
ticket	t ɪ k ɪ t
announced	ɐ n aʊ n s t
guess	ɡ ɛ s
agreed	ɐ ɡ ɹ iː d
prevention	p ɹ ɪ v ɛ n ʃ ə n
whom	h uː m
ski	s k iː
soccer	s ɑː k ɚ
math	m æ θ
import	ɪ m p ɔːɹ t
posting	p oʊ s t ɪ ŋ
presence	p ɹ ɛ z ə n s
instant	ɪ n s t ə n t
mentioned	m ɛ n ʃ ə n d
automatic	ɔː ɾ ə m æ ɾ ɪ k
healthcare	h ɛ l θ k ɛɹ
viewing	v j uː ɪ ŋ
maintained	m eɪ n t eɪ n d
ch	s iː eɪ tʃ
increasing	ɪ ŋ k ɹ iː s ɪ ŋ
majority	m ə dʒ ɔː ɹ ᵻ ɾ i
connected	k ə n ɛ k t ᵻ d
christ	k ɹ aɪ s t
dan	d æ n
dogs	d ɑː ɡ z
sd	ɛ s d iː
directors	d ᵻ ɹ ɛ k t ɚ z
aspects	æ s p ɛ k t s
austria	ɔː s t ɹ i ə
ahead	ɐ h ɛ d
moon	m uː n
participation	p ɑːɹ t ɪ s ɪ p eɪ ʃ ə n
scheme	s k iː m
utility	j uː t ɪ l ᵻ ɾ i
preview	p ɹ iː v j uː
fly	f l aɪ
manner	m æ n ɚ
matrix	m eɪ t ɹ ɪ k s
containing	k ə n t eɪ n ɪ ŋ
combination	k ɑː m b ᵻ n eɪ ʃ ə n
devel	d ɪ v ɛ l
amendment	ɐ m ɛ n d m ə n t
despite	d ᵻ s p aɪ t
strength	s t ɹ ɛ ŋ θ
guaranteed	ɡ æ ɹ ə n t iː d
turkey	t ɜː k i
libraries	l aɪ b ɹ ɛ ɹ i z
proper	p ɹ ɑː p ɚ
distributed	d ɪ s t ɹ ɪ b j uː ɾ ᵻ d
degrees	d ᵻ ɡ ɹ iː z
singapore	s ɪ ŋ ɡ ɐ p ɔːɹ
enterprises	ɛ n t ɚ p ɹ aɪ z ᵻ z
delta	d ɛ l t ə
fear	f ɪɹ
seeking	s iː k ɪ ŋ
inches	ɪ n tʃ ᵻ z
phoenix	f iː n ɪ k s
rs	ɑːɹ ɹ ɛ s
convention	k ə n v ɛ n ʃ ə n
shares	ʃ ɛɹ z
principal	p ɹ ɪ n s ɪ p əl
daughter	d ɔː ɾ ɚ
standing	s t æ n d ɪ ŋ
comfort	k ʌ m f ɚ t
colors	k ʌ l ɚ z
wars	w ɔːɹ z
cisco	s ɪ s k oʊ
ordering	ɔːɹ d ɚ ɹ ɪ ŋ
kept	k ɛ p t
alpha	æ l f ə
appeal	ɐ p iː l
cruise	k ɹ uː z
bonus	b oʊ n ə s
certification	s ɜː ɾ ɪ f ɪ k eɪ ʃ ə n
previously	p ɹ iː v iə s l i
hey	h eɪ
bookmark	b ʊ k m ɑːɹ k
buildings	b ɪ l d ɪ ŋ z
specials	s p ɛ ʃ əl z
beat	b iː t
disney	d ɪ z n i
household	h aʊ s h oʊ l d
batteries	b æ ɾ ɚ ɹ i z
adobe	ɐ d oʊ b i
smoking	s m oʊ k ɪ ŋ
bbc	b iː b iː s iː
becomes	b ɪ k ʌ m z
drives	d ɹ aɪ v z
arms	ɑːɹ m z
alabama	æ l ə b æ m ə
tea	t iː
improved	ɪ m p ɹ uː v d
trees	t ɹ iː z
avg	eɪ v iː dʒ iː
achieve	ɐ tʃ iː v
positions	p ə z ɪ ʃ ə n z
dress	d ɹ ɛ s
subscription	s ʌ b s k ɹ ɪ p ʃ ə n
dealer	d iː l ɚ
contemporary	k ə n t ɛ m p ɚ ɹ ɛ ɹ i
sky	s k aɪ
utah	j uː t ɔ
nearby	n ɪɹ b aɪ
rom	ɹ ɑː m
carried	k æ ɹ i d
happen	h æ p ə n
exposure	ɛ k s p oʊ ʒ ɚ
panasonic	p æ n ɐ s ɑː n ɪ k
hide	h aɪ d
permalink	p ɜː m ɐ l ɪ ŋ k
signature	s ɪ ɡ n ɪ tʃ ɚ
gambling	ɡ æ m b l ɪ ŋ
refer	ɹ ᵻ f ɜː
miller	m ɪ l ɚ
provision	p ɹ ə v ɪ ʒ ə n
outdoors	aʊ t d ɔːɹ z
clothes	k l oʊ ð z
caused	k ɔː z d
luxury	l ʌ k ʃ ɚ ɹ i
babes	b eɪ b z
frames	f ɹ eɪ m z
certainly	s ɜː ʔ n̩ l i
indeed	ɪ n d iː d
newspaper	n uː z p eɪ p ɚ
toy	t ɔɪ
circuit	s ɜː k ɪ t
layer	l eɪ ɚ
printed	p ɹ ɪ n t ᵻ d
slow	s l oʊ
removal	ɹ ᵻ m uː v əl
easier	iː z i ɚ
src	ɛ s ɑːɹ s iː
liability	l aɪ ə b ɪ l ᵻ ɾ i
trademark	t ɹ eɪ d m ɑːɹ k
hip	h ɪ p
printers	p ɹ ɪ n t ɚ z
faqs	f æ k z
nine	n aɪ n
adding	æ d ɪ ŋ
kentucky	k ɛ n t ʌ k i
mostly	m oʊ s t l i
eric	ɛ ɹ ɪ k
spot	s p ɑː t
taylor	t eɪ l ɚ
trackback	t ɹ æ k b æ k
prints	p ɹ ɪ n t s
spend	s p ɛ n d
factory	f æ k t ɚ ɹ i
interior	ɪ n t ɪ ɹ i ɚ
revised	ɹ ᵻ v aɪ z d
grow	ɡ ɹ oʊ
americans	ɐ m ɛ ɹ ɪ k ə n z
optical	ɑː p t ɪ k əl
promotion	p ɹ ə m oʊ ʃ ə n
relative	ɹ ɛ l ə t ɪ v
amazing	ɐ m eɪ z ɪ ŋ
clock	k l ɑː k
dot	d ɑː t
hiv	eɪ tʃ aɪ v iː
identity	aɪ d ɛ n t ᵻ ɾ i
suites	s w iː t s
conversion	k ə n v ɜː ʒ ə n
feeling	f iː l ɪ ŋ
hidden	h ɪ d ə n
reasonable	ɹ iː z ə n ə b əl
victoria	v ɪ k t ɔː ɹ iə
serial	s ɪ ɹ i əl
relief	ɹ ᵻ l iː f
revision	ɹ ᵻ v ɪ ʒ ə n
broadband	b ɹ ɔː d b æ n d
influence	ɪ n f l uː ə n s
ratio	ɹ eɪ ʃ ɪ oʊ
pda	p iː d iː eɪ
importance	ɪ m p ɔːɹ t ə n s
rain	ɹ eɪ n
onto	ɑː n t ʊ
dsl	d iː ɛ s ɛ l
planet	p l æ n ɪ t
webmaster	w ɛ b m æ s t ɚ
copies	k ɑː p ɪ z
recipe	ɹ ɛ s ᵻ p iː
zum	z ʌ m
permit	p ɜː m ɪ t
seeing	s iː ɪ ŋ
proof	p ɹ uː f
dna	d iː ɛ n eɪ
diff	d ɪ f
tennis	t ɛ n ɪ s
bass	b eɪ s
prescription	p ɹ ɪ s k ɹ ɪ p ʃ ə n
bedroom	b ɛ d ɹ uː m
empty	ɛ m p t i
instance	ɪ n s t ə n s
hole	h oʊ l
pets	p ɛ t s
ride	ɹ aɪ d
licensed	l aɪ s ə n s t
orlando	ɔːɹ l æ n d oʊ
specifically	s p ə s ɪ f ɪ k l i
tim	t ɪ m
bureau	b j ʊɹ ɹ oʊ
maine	m eɪ n
sql	ɛ s k j uː ɛ l
represent	ɹ ɛ p ɹ ᵻ z ɛ n t
conservation	k ɑː n s ɚ v eɪ ʃ ə n
pair	p ɛɹ
ideal	aɪ d iə l
specs	s p ɛ k s
recorded	ɹ ᵻ k ɔːɹ d ᵻ d
don	d ɑː n
pieces	p iː s ᵻ z
finished	f ɪ n ɪ ʃ t
parks	p ɑːɹ k s
dinner	d ɪ n ɚ
lawyers	l ɔɪ ɚ z
sydney	s ɪ d n i
stress	s t ɹ ɛ s
cream	k ɹ iː m
ss	ɛ s ɛ s
runs	ɹ ʌ n z
trends	t ɹ ɛ n d z
yeah	j ɛ h
discover	d ɪ s k ʌ v ɚ
ap	æ p
patterns	p æ t ɚ n z
boxes	b ɑː k s ᵻ z
louisiana	l uː iː z ɪ æ n ə
hills	h ɪ l z
javascript	dʒ ɑː v ɐ s k ɹ ɪ p t
fourth	f ɔːɹ θ
nm	ɛ n ɛ m
advisor	ɐ d v aɪ z ɚ
mn	ɛ m ɛ n
marketplace	m ɑːɹ k ɪ t p l eɪ s
nd	ɛ n d iː
evil	iː v əl
aware	ɐ w ɛɹ
wilson	w ɪ l s ə n
shape	ʃ eɪ p
evolution	ɛ v ə l uː ʃ ə n
irish	aɪ ɹ ɪ ʃ
certificates	s ɚ t ɪ f ɪ k ə t s
objectives	ɑː b dʒ ɛ k t ɪ v z
stations	s t eɪ ʃ ə n z
suggested	s ə dʒ ɛ s t ᵻ d
gps	dʒ iː p iː ɛ s
op	ɑː p
remains	ɹ ᵻ m eɪ n z
acc	æ k
greatest	ɡ ɹ eɪ ɾ ɪ s t
firms	f ɜː m z
concerned	k ə n s ɜː n d
euro	j ʊɹ ɹ oʊ
operator	ɑː p ɚ ɹ eɪ ɾ ɚ
structures	s t ɹ ʌ k tʃ ɚ z
generic	dʒ ə n ɛ ɹ ɪ k
encyclopedia	ɛ n s aɪ k l oʊ p iː d iə
usage	j uː s ɪ dʒ
cap	k æ p
ink	ɪ ŋ k
charts	tʃ ɑːɹ t s
continuing	k ə n t ɪ n j uː ɪ ŋ
mixed	m ɪ k s t
census	s ɛ n s ə s
interracial	ɪ n t ɚ ɹ eɪ ʃ əl
peak	p iː k
tn	t iː ɛ n
competitive	k ə m p ɛ ɾ ᵻ t ɪ v
exist	ɛ ɡ z ɪ s t
wheel	w iː l
transit	t ɹ æ n s ɪ t
suppliers	s ə p l aɪɚ z
salt	s ɔ l t
compact	k ə m p æ k t
poetry	p oʊ ɪ t ɹ i
lights	l aɪ t s
tracking	t ɹ æ k ɪ ŋ
angel	eɪ n dʒ əl
bell	b ɛ l
keeping	k iː p ɪ ŋ
preparation	p ɹ ɛ p ɚ ɹ eɪ ʃ ə n
attempt	ɐ t ɛ m p t
receiving	ɹ ᵻ s iː v ɪ ŋ
matches	m æ tʃ ᵻ z
accordance	ɐ k ɔːɹ d ə n s
width	w ɪ t θ
noise	n ɔɪ z
engines	ɛ n dʒ ɪ n z
forget	f ɚ ɡ ɛ t
array	ɚ ɹ eɪ
discussed	d ɪ s k ʌ s t
accurate	æ k j ʊ ɹ ə t
stephen	s t iː v ə n
elizabeth	ᵻ l ɪ z ə b ə θ
climate	k l aɪ m ə t
reservations	ɹ ɛ z ɚ v eɪ ʃ ə n z
pin	p ɪ n
playstation	p l eɪ s t eɪ ʃ ə n
alcohol	æ l k ə h ɑː l
greek	ɡ ɹ iː k
instruction	ɪ n s t ɹ ʌ k ʃ ə n
managing	m æ n ɪ dʒ ɪ ŋ
annotation	æ n ə t eɪ ʃ ə n
sister	s ɪ s t ɚ
raw	ɹ ɔː
differences	d ɪ f ɹ ə n s ᵻ z
walking	w ɔː k ɪ ŋ
explain	ɛ k s p l eɪ n
smaller	s m ɔː l ɚ
newest	n uː ɪ s t
establish	ɪ s t æ b l ɪ ʃ
gnu	ɡ ə n uː
happened	h æ p ə n d
expressed	ɛ k s p ɹ ɛ s t
jeff	dʒ ɛ f
extent	ɛ k s t ɛ n t
sharp	ʃ ɑːɹ p
lesbians	l ɛ s b iə n z
ben	b ɛ n
lane	l eɪ n
paragraph	p æ ɹ ə ɡ ɹ æ f
kill	k ɪ l
mathematics	m æ θ ɪ m æ ɾ ɪ k s
aol	eɪ oʊ ɛ l
compensation	k ɑː m p ə n s eɪ ʃ ə n
ce	s iː
export	ɛ k s p ɔːɹ t
managers	m æ n ɪ dʒ ɚ z
aircraft	ɛɹ k ɹ æ f t
modules	m ɑː dʒ uː l z
sweden	s w iː d ə n
conflict	k ɑː n f l ɪ k t
conducted	k ə n d ʌ k t ᵻ d
versions	v ɜː ʒ ə n z
employer	ɛ m p l ɔɪ ɚ
occur	ə k ɜː
percentage	p ɚ s ɛ n t ɪ dʒ
knows	n oʊ z
mississippi	m ɪ s ɪ s ɪ p i
describe	d ᵻ s k ɹ aɪ b
concern	k ə n s ɜː n
backup	b æ k ʌ p
requested	ɹ ᵻ k w ɛ s t ᵻ d
citizens	s ɪ ɾ ɪ z ə n z
connecticut	k ə n ɛ ɾ ɪ k ə t
heritage	h ɛ ɹ ɪ ɾ ɪ dʒ
personals	p ɜː s ə n əl z
immediate	ɪ m iː d ɪ ə t
holding	h oʊ l d ɪ ŋ
trouble	t ɹ ʌ b əl
spread	s p ɹ ɛ d
coach	k oʊ tʃ
kevin	k ɛ v ɪ n
agricultural	æ ɡ ɹ ɪ k ʌ l tʃ ɚ ɹ əl
expand	ɛ k s p æ n d
supporting	s ə p ɔːɹ ɾ ɪ ŋ
audience	ɔː d iə n s
assigned	ɐ s aɪ n d
jordan	dʒ ɔːɹ d ə n
collections	k ə l ɛ k ʃ ə n z
ages	eɪ dʒ ᵻ z
participate	p ɑːɹ t ɪ s ᵻ p eɪ t
plug	p l ʌ ɡ
specialist	s p ɛ ʃ əl ɪ s t
cook	k ʊ k
affect	ɐ f ɛ k t
virgin	v ɜː dʒ ɪ n
experienced	ɛ k s p iə ɹ ɪ ə n s t
investigation	ɪ n v ɛ s t ɪ ɡ eɪ ʃ ə n
raised	ɹ eɪ z d
hat	h æ t
institution	ɪ n s t ɪ t uː ʃ ə n
directed	d ᵻ ɹ ɛ k t ᵻ d
dealers	d iː l ɚ z
searching	s ɜː tʃ ɪ ŋ
sporting	s p ɔːɹ ɾ ɪ ŋ
helping	h ɛ l p ɪ ŋ
perl	p ɜː l
affected	ɐ f ɛ k t ᵻ d
lib	l ɪ b
bike	b aɪ k
totally	t oʊ ɾ əl i
plate	p l eɪ t
expenses	ɛ k s p ɛ n s ᵻ z
indicate	ɪ n d ᵻ k eɪ t
blonde	b l ɑː n d
ab	æ b
proceedings	p ɹ ə s iː d ɪ ŋ z
favourite	f eɪ v ɹ ɪ t
transmission	t ɹ æ n s m ɪ ʃ ə n
anderson	æ n d ɚ s ə n
utc	j uː t iː s iː
characteristics	k æ ɹ ɪ k t ɚ ɹ ɪ s t ɪ k s
der	d ɛɹ
lose	l uː z
organic	ɔːɹ ɡ æ n ɪ k
seek	s iː k
experiences	ɛ k s p iə ɹ ɪ ə n s ᵻ z
albums	æ l b ə m z
cheats	tʃ iː t s
extremely	ɛ k s t ɹ iː m l i
verzeichnis	v ɜː z aɪ tʃ n i z
contracts	k ɑː n t ɹ æ k t s
guests	ɡ ɛ s t s
hosted	h oʊ s t ᵻ d
diseases	d ɪ z iː z ᵻ z
concerning	k ə n s ɜː n ɪ ŋ
developers	d ɪ v ɛ l ə p ɚ z
equivalent	ɪ k w ɪ v ə l ə n t
chemistry	k ɛ m ɪ s t ɹ i
tony	t oʊ n i
neighborhood	n eɪ b ɚ h ʊ d
nevada	n ᵻ v æ d ə
kits	k ɪ t s
thailand	t aɪ l ə n d
variables	v ɛ ɹ ɪ ə b əl z
agenda	ɐ dʒ ɛ n d ə
anyway	ɛ n ɪ w eɪ
continues	k ə n t ɪ n j uː z
tracks	t ɹ æ k s
advisory	ɐ d v aɪ z ɚ ɹ i
cam	k æ m
curriculum	k ɜː ɹ ɪ k j ʊ l ə m
logic	l ɑː dʒ ɪ k
template	t ɛ m p l ə t
prince	p ɹ ɪ n s
circle	s ɜː k əl
soil	s ɔɪ l
grants	ɡ ɹ æ n t s
anywhere	ɛ n ɪ w ɛɹ
psychology	s aɪ k ɑː l ə dʒ i
responses	ɹ ᵻ s p ɑː n s ᵻ z
atlantic	ɐ t l æ n t ɪ k
wet	w ɛ t
circumstances	s ɜː k ə m s t æ n s ᵻ z
edward	ɛ d w ɚ d
investor	ɪ n v ɛ s t ɚ
identification	aɪ d ɛ n t ɪ f ɪ k eɪ ʃ ə n
ram	ɹ æ m
leaving	l iː v ɪ ŋ
wildlife	w aɪ l d l aɪ f
appliances	ɐ p l aɪə n s ᵻ z
matt	m æ t
elementary	ɛ l ɪ m ɛ n t ɚ ɹ i
cooking	k ʊ k ɪ ŋ
speaking	s p iː k ɪ ŋ
sponsors	s p ɑː n s ɚ z
fox	f ɑː k s
unlimited	ʌ n l ɪ m ɪ ɾ ᵻ d
respond	ɹ ᵻ s p ɑː n d
sizes	s aɪ z ᵻ z
plain	p l eɪ n
exit	ɛ ɡ z ɪ t
entered	ɛ n t ɚ d
iran	ɪ ɹ æ n
arm	ɑːɹ m
keys	k iː z
launch	l ɑː n tʃ
wave	w eɪ v
checking	tʃ ɛ k ɪ ŋ
costa	k ɔ s t ə
belgium	b ɛ l dʒ ə m
printable	p ɹ ɪ n t ə b əl
holy	h oʊ l i
acts	æ k t s
guidance	ɡ aɪ d ə n s
mesh	m ɛ ʃ
trail	t ɹ eɪ l
enforcement	ɛ n f ɔːɹ s m ə n t
symbol	s ɪ m b əl
crafts	k ɹ æ f t s
highway	h aɪ w eɪ
buddy	b ʌ d i
hardcover	h ɑːɹ d k ʌ v ɚ
observed	ə b z ɜː v d
dean	d iː n
setup	s ɛ ɾ ʌ p
poll	p oʊ l
booking	b ʊ k ɪ ŋ
glossary	ɡ l ɔ s ɚ ɹ i
fiscal	f ɪ s k əl
celebrity	s ə l ɛ b ɹ ᵻ ɾ i
styles	s t aɪ l z
denver	d ɛ n v ɚ
unix	j uː n ɪ k s
filled	f ɪ l d
bond	b ɑː n d
channels	tʃ æ n əl z
ericsson	ɛ ɹ ɪ k s ə n
appendix	ɐ p ɛ n d ɪ k s
notify	n oʊ ɾ ᵻ f aɪ
blues	b l uː z
chocolate	tʃ ɑː k l ə t
pub	p ʌ b
portion	p ɔːɹ ʃ ə n
scope	s k oʊ p
hampshire	h æ m p ʃ ɚ
supplier	s ə p l aɪɚ
cables	k eɪ b əl z
cotton	k ɑː ʔ n̩
bluetooth	b l uː t uː θ
controlled	k ə n t ɹ oʊ l d
requirement	ɹ ᵻ k w aɪɚ m ə n t
authorities	ɐ θ ɔː ɹ ɪ ɾ i z
biology	b aɪ ɑː l ə dʒ i
dental	d ɛ n t əl
killed	k ɪ l d
border	b ɔːɹ d ɚ
ancient	eɪ n tʃ ə n t
debate	d ᵻ b eɪ t
representatives	ɹ ɛ p ɹ ᵻ z ɛ n t ə t ɪ v z
starts	s t ɑːɹ t s
pregnancy	p ɹ ɛ ɡ n ə n s i
causes	k ɔː z ᵻ z
arkansas	ɑːɹ k ə n s ɔː
biography	b aɪ ɑː ɡ ɹ ə f i
leisure	l iː ʒ ɚ
attractions	ɐ t ɹ æ k ʃ ə n z
learned	l ɜː n d
transactions	t ɹ æ n s æ k ʃ ə n z
notebook	n oʊ t b ʊ k
explorer	ɛ k s p l ɔː ɹ ɚ
historic	h ɪ s t ɔː ɹ ɪ k
attached	ɐ t æ tʃ t
opened	oʊ p ə n d
tm	t iː ɛ m
husband	h ʌ s b ə n d
disabled	d ɪ s eɪ b əl d
authorized	ɔː θ ɚ ɹ aɪ z d
